date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
1971,,,,,,TJK
1970,,,,,,TJK
1969,,,,,,TJK
1968,,,,,,TJK
1967,,,,,,TJK
1966,,,,,,TJK
1965,,,,,,TJK
1964,,,,,,TJK
1963,,,,,,TJK
1962,,,,,,TJK
1961,,,,,,TJK
1960,,,,,,TJK
2021,,,,,,TZA
2020,22547182316.18,6.41807965578336,24150332212.559,42.910822724128,36052380732.3178,TZA
2019,21187360633.748,1.72696941877454,23586583448.2028,42.55369343663,35797801052.5011,TZA
2018,20827673088.861,8.18496223747034,21839429118.6914,39.048831704801,34132783603.1018,TZA
2017,19251911409.9642,13.4424950750827,20275685717.4709,35.4598039791036,31696380809.254,TZA
2016,16970634679.0259,9.34257937450435,17514622837.7551,32.7538449780549,30600683982.1211,TZA
2015,15520609424.1663,-2.81791462307621,15100095716.1602,31.8711317489473,30256859704.1465,TZA
2014,15970648668.3931,9.59557431972064,14101564308.8173,33.1703492082077,30826198551.8064,TZA
2013,14572348169.6462,23.8836844619788,13151842621.0624,33.9570406304935,28820312745.8834,TZA
2012,11762927646.9563,8.59288854487478,11197438809.0034,32.9651849102992,25516699782.6554,TZA
2011,10832134410.0681,13.9989455169758,11086824474.4503,35.0995294823058,23727888154.3185,TZA
2010,9501960181.25019,2.55012175511162,9108191869.70313,30.7705684102732,21144110240.4378,TZA
2009,9265674207.52629,7.89056027559913,8169371301.86889,30.9967357859854,17581273183.9147,TZA
2008,8588030485.57516,22.9826855893625,8234869201.47776,36.0601528563069,17125204629.1207,TZA
2007,6983121603.19093,15.2819533463093,7316374860.13545,33.8875320866465,13682057382.2995,TZA
2006,6057428244.82987,16.5162492698691,6389847039.38101,31.5031858878551,11884338308.3313,TZA
2005,5198784103.32275,20.3494474995088,5506604719.3645,28.5449716510551,11716254558.5031,TZA
2004,4319740731.12714,11.0429219645857,4639376743.64301,25.6652252890224,10932257405.5286,TZA
2003,3890154054.57793,15.045601750096,4202981444.87948,21.6943271216014,10536238235.5292,TZA
2002,3381401805.37122,8.50781335349559,3687413188.82128,19.2909067039648,10180856007.7833,TZA
2001,3116274949.11848,13.0933904917918,3416408172.88016,19.5758656495043,10056088809.175,TZA
2000,2755488128.49912,6.33598001210736,3050688424.22206,18.7574585883624,10306820992.4058,TZA
1999,2591303647.35002,6.690560784097,2880751321.91518,19.5929887020975,9995982711.05382,TZA
1998,2428803099.64241,13.8929663433462,2712571999.32108,22.4280508754648,9422489166.82414,TZA
