"Reference_Name","ISO_639","Language_Type","DLS_Level","Raw_Score","Adjusted_Score","Proportional_Score","Content","Encoding","Surface","Localized","Meaning","Speech","Assistant"
"Chuanqiandian Cluster Miao","cqd","Living","Ascending",12,9.1515,0.332781,3.9231,2,1,1.6002,0.6282,0,0
"K'iche'","quc","Living","Ascending",12,9.1336,0.33213,3.9231,2,1.375,1.6002,0,0.2353,0
"Acoli","ach","Living","Ascending",12,8.9203,0.324375,3.9231,2,1.5845,1.4127,0,0,0
"Bukusu","bxk","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Chiga","cgg","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Ewondo","ewo","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Gusii","guz","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Sichuan Yi","iii","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Kamba (Kenya)","kam","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Kabuverdianu","kea","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Kikuyu","kik","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Mazanderani","mzn","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"North Ndebele","nde","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Low German","nds","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Sango","sag","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Kipsigis","sgc","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
"Sidamo","sid","Living","Ascending",10,8.5004,0.309107,3.7708,3.1828,0.9268,0.62,0,0,0
